geocode,legal_description,total_market_land,last_modified,property_address,sub_category,subdivision,owners__0,land_value,building_value,yoY_difference,market_land_details__0,market_land_details__1,market_land_details__2,market_land_details__4,other_building_details__0,other_building_details__1,other_building_details__2,other_building_details__4,other_building_details__5,other_building_details__8,other_building_details__9,other_building_details__10,other_building_details__12,other_building_details__13,other_building_details__16,other_building_details__17,other_building_details__18,other_building_details__20,other_building_details__21,other_building_details__24,other_building_details__25,other_building_details__26,other_building_details__28,other_building_details__29,other_building_details__32,other_building_details__33,other_building_details__34,other_building_details__36,other_building_details__37,other_building_details__40,other_building_details__41,other_building_details__42,other_building_details__44,other_building_details__45,other_building_details__48,other_building_details__49,other_building_details__50,other_building_details__52,other_building_details__53,building_details__3,building_details__4,building_details__5,building_details__6,building_details__8,building_details__10,building_details__11,building_details__12,building_details__14,building_details__15,building_details__16,building_details__17,building_details__18,other_building_details__56,other_building_details__57,other_building_details__58,other_building_details__60,other_building_details__61,building_details__7,building_details__9,building_details__13,building_details__19,other_building_details__64,other_building_details__65,other_building_details__66,other_building_details__68,other_building_details__69,other_building_details__72,other_building_details__73,other_building_details__74,other_building_details__76,other_building_details__77,other_building_details__80,other_building_details__81,other_building_details__82,other_building_details__84,other_building_details__85,market_land_details__6,market_land_details__7,market_land_details__8,market_land_details__10,building_details__20
03-0927-04-3-23-14-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 7, Lot 43 - 44",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,185600,40600,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,300,  ,RPA2 - Concrete,A,3501,72,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-16-15-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 16, Lot 37 - 38",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,8/23/2017 12:56:17 PM,37300,227200,60900,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,800,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,480,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-09-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 3 - 6",0.321,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,43747,237853,60100,Primary Site,   ,   ,43747,"RRG3 - Garage, frame, detached, unfinished",5,3501,1142,  ,RRC2 - Canopy,5,3501,70,  ,RPA2 - Concrete,A,3501,216,  ,RPA2 - Concrete,A,3501,200,  ,RPA2 - Concrete,A,3501,912,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-28-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 1, Lot 6 - 7",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,217800,64500,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,375,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-24-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 26 - 27",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,3/3/2021 3:34:52 PM,37300,234600,79400,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,720,  ,RPA2 - Concrete,A,3501,350,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-25-09-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 4, Lot 6 - 7",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,6/15/2022 8:50:15 AM,37300,177200,51900,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,208,  ,"RRS1 - Shed, Frame",L,3501,120,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,400,  ,"RRS2 - Shed, residential, metal",L,3501,100,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-16-12-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 16, Lot 43 - 44",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,192000,52000,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",2,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-06-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 22, Lot 44 - 46",0.241,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/4/2014 1:13:31 PM,40946,190354,58300,Primary Site,   ,   ,40946,"RRG4 - Garage, masonry, detached, unfinished",3,3501,462,  ,RPA2 - Concrete,A,3501,224,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-20-08-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 9, Lot 5 - 6",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,165500,45700,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,186,  ,RPA2 - Concrete,A,3501,500,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-17-18-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 12, Lot 42 - 43",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/22/2021 9:04:20 AM,37300,187800,46800,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",4,3501,288,  ,RPA2 - Concrete,A,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,"RRS1 - Shed, Frame",A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-21-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 5, Lot 1, S80' LT 1-3",0.138,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,4/4/2017 9:16:19 AM,37955,268745,73100,Primary Site,   ,   ,37955,"CPA2 - Paving, concrete, 4""",A,3527,70,  ,"CPA2 - Paving, concrete, 4""",A,3527,512,  ,"CRS1 - Utility Building, frame",A,3527,64,  ,"CRS1 - Utility Building, frame",A,3527,128,  ,"CGFU - Garage, detached, frame, unfinished",L,3527,336,  ,,,,,,,,,,,"102 - Residential, 2-family",1,0,0,011 - Apartment,9,1,9,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-11-03-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 18, Lot 18 - 19",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,5/18/2009 9:26:57 AM,37300,191400,56400,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,560,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,308,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-12-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 17, Lot 30, & E2 LT 29",0.121,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/3/2018 9:15:03 AM,34912,156088,39500,Primary Site,   ,   ,34912,"RRG3 - Garage, frame, detached, unfinished",3,3501,264,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-13-09-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 13, Lot 8 - 9",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,168100,56100,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,225,  ,"RRS1 - Shed, Frame",L,3501,96,  ,"RRG3 - Garage, frame, detached, unfinished",5,3501,672,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-21-09-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 5, Lot 9 - 10, & E22.3 FT LT 11",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,8/17/2022 12:42:16 PM,37300,293210,80970,Primary Site,   ,   ,37300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-22-17-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 6, Lot 39 - 40",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,8/17/2022 12:56:51 PM,37300,199400,67000,Primary Site,   ,   ,37300,RPA2 - Concrete,L,3501,300,  ,RPA2 - Concrete,A,3501,400,  ,"RRS1 - Shed, Frame",L,3501,100,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-14-08-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 14, Lot 6 - 7",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,144400,41200,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,200,  ,"RRS1 - Shed, Frame",L,3501,50,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-25-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 4, Lot 4 - 5",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,168200,51700,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,600,  ,"RRS1 - Shed, Frame",L,3501,96,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,288,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-13-25-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 13, Lot 26 - 27",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,2/26/2019 10:32:18 AM,37300,242130,57350,Primary Site,   ,   ,37300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-13-24-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 13, Lot 28 - 29",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,3/21/2019 9:48:18 AM,37300,180100,43900,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,252,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,400,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-13-19-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 13, Lot 38, & E17 FT LT 37 W4 FT LT 39",0.148,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,2/26/2019 10:32:18 AM,36591,203709,49000,Primary Site,   ,   ,36591,RRC1 - Carport,3,3501,  ,  ,RRC2 - Canopy,4,3501,200,  ,"RRS1 - Shed, Frame",A,3501,80,  ,RPA2 - Concrete,L,3501,360,  ,RPA2 - Concrete,A,3501,64,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-09-16-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 20, Lot 42 - 43",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/11/2019 12:02:01 PM,37300,165100,60100,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,336,  ,RPA2 - Concrete,A,3501,176,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-07-16-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 23, Lot 33 - 34",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/13/2019 4:41:57 PM,37300,188400,51200,Primary Site,   ,   ,37300,"RRS1 - Shed, Frame",A,3501,96,  ,RPA2 - Concrete,A,3501,400,  ,"RRG1 - Garage, frame, detached, finished",4,3501,840,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-21-19-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 5, Lot 42, & W2 LT 43",0.112,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/9/2021 9:25:29 AM,34317,205783,58200,Primary Site,   ,   ,34317,RPA2 - Concrete,L,3501,  ,  ,"RRS1 - Shed, Frame",A,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,480,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-18-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 11, Lot 5 - 6",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/3/2018 3:10:36 PM,37300,203600,73000,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,500,  ,RPA2 - Concrete,A,3501,128,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-07-17-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 23, Lot 30 - 32",0.241,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,40946,222154,91600,Primary Site,   ,   ,40946,"RRS1 - Shed, Frame",A,3501,480,  ,"RRS1 - Shed, Frame",A,3501,360,  ,RPA2 - Concrete,A,3501,1340,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-18-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 11, Lot 31 - 32",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/18/2021 1:26:05 PM,37300,216100,60800,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,623,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,672,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,218,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-05-01-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 21, Lot 23 - 25",0.241,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/3/2023 3:04:43 PM,40946,195254,49500,Primary Site,   ,   ,40946,"RRG4 - Garage, masonry, detached, unfinished",4,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,"RRS1 - Shed, Frame",A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-08-13-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 24, Lot 32 - 33, & W3 FT LT 34",0.170,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/22/2022 10:38:24 AM,37803,146797,50600,Primary Site,   ,   ,37803,RPA2 - Concrete,A,3501,  ,  ,"RRG3 - Garage, frame, detached, unfinished",2,3501,448,  ,RPA2 - Concrete,A,3501,  ,  ,"RRS2 - Shed, residential, metal",C,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-15-21-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 15, Lot 24 - 26, S50' LTS 24-26",0.086,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,1/10/2020 11:45:34 AM,32312,218988,69400,Primary Site,   ,   ,32312,"RRS1 - Shed, Frame",A,3501,96,  ,RPA2 - Concrete,A,3501,585,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-06-05-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 22, Lot 15 - 16",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,230900,76500,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",4,3501,768,  ,RRC1 - Carport,4,3501,240,  ,RPA2 - Concrete,A,3501,344,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-12-01-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 17, Lot 22 - 23",0.161,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,9/12/2017 10:00:32 AM,42739,313061,68500,Primary Site,   ,   ,42739,"CPA2 - Paving, concrete, 4""",A,3527,1434,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102 - Residential, 2-family",1,0,0,011 - Apartment,9,1,9,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-22-02-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 6, Lot 20 - 21",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/2/2020 3:18:44 PM,37300,162500,41200,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",4,3501,280,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-12-21-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 17, Lot 28, & W2 LT 29",0.121,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,3/1/2016 4:27:27 PM,34912,131688,19700,Primary Site,   ,   ,34912,RPA2 - Concrete,A,3501,520,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,308,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-21-15-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 5, Lot 49 - 50",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,244530,73890,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,  ,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,"RRS1 - Shed, Frame",L,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-07-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 10 - 11",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/9/2014 11:42:15 AM,37300,120900,26400,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",3,3501,580,  ,RPA1 - Asphalt,L,3501,180,  ,"RRS1 - Shed, Frame",L,3501,80,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-26-06-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 3, Lot 11 - 12",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/29/2021 2:31:30 PM,37300,189400,54400,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,  ,  ,RPA2 - Concrete,A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-19-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 30 - 32",0.241,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,40946,232054,60100,Primary Site,   ,   ,40946,RPA2 - Concrete,A,3501,504,  ,"RRG3 - Garage, frame, detached, unfinished",3,3501,576,  ,RRC1 - Carport,5,3501,360,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-23-10-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 7, Lot 5 - 6",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,12/19/2017 4:34:19 PM,37300,112300,54480,Primary Site,   ,   ,37300,"RRS2 - Shed, residential, metal",C,3501,  ,  ,"RRS1 - Shed, Frame",A,3501,  ,  ,"RRS1 - Shed, Frame",A,3501,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-22-22-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 6, Lot 29 - 30",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,219900,73700,Primary Site,   ,   ,37300,RPA2 - Concrete,L,3501,100,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,320,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-26-02-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 3, Lot 19 - 20",0.161,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,3/4/2020 2:54:16 PM,42739,193161,49600,Primary Site,   ,   ,42739,"CPA2 - Paving, concrete, 4""",A,3527,275,  ,"CGFU - Garage, detached, frame, unfinished",A,3527,528,  ,,,,,,,,,,,,,,,,,,,,,,,,,,"102 - Residential, 2-family",1,0,0,027 - Dwelling,8,0,8,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-26-04-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 3, Lot 15 - 16",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,7/25/2022 1:03:47 PM,37300,179500,53400,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,300,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-13-01-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 13, Lot 25, & W22' LT 24",0.151,10/6/2023 1:55:41 AM,,Commercial Property,YELLOWSTONE ADD,1/25/2018 11:45:26 AM,40750,175450,42600,Primary Site,   ,   ,40750,"CPA2 - Paving, concrete, 4""",A,3527,170,  ,"CGFU - Garage, detached, frame, unfinished",A,3527,440,  ,,,,,,,,,,,,,,,,,,,,,,,,,,"102 - Residential, 2-family",1,0,0,"091 - Basement, Residential, unfinished",8,0,8,3-Normal,50,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-22-21-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 6, Lot 31 - 32",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,11/6/2007 9:25:03 PM,37300,169700,53200,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,360,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-10-12-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 19, Lot 45 - 46, N90'",0.103,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,9/30/2022 2:55:35 PM,33696,218004,65900,Primary Site,   ,   ,33696,RPA2 - Concrete,A,3501,344,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-05-22-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 21, Lot 29 - 30",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,2/19/2019 4:51:19 PM,37300,164400,30500,Primary Site,   ,   ,37300,"RRG3 - Garage, frame, detached, unfinished",5,3501,840,  ,RSG1 - Finish in Detached Garage,4,3501,288,  ,RPA2 - Concrete,A,3501,280,  ,RPA2 - Concrete,A,3501,506,  ,RPA2 - Concrete,A,3501,476,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-09-18-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 20, Lot 37 - 39",0.241,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,4/18/2019 1:16:53 PM,40946,204454,36900,Primary Site,   ,   ,40946,RPA2 - Concrete,A,3501,600,  ,"RRS1 - Shed, Frame",A,3501,  ,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,480,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0927-04-3-22-20-0000,"YELLOWSTONE ADD, S04, T01 S, R26 E, BLOCK 6, Lot 33 - 34",0.161,10/6/2023 1:55:41 AM,,Residential Property,YELLOWSTONE ADD,8/11/2023 7:22:32 AM,37300,232700,67300,Primary Site,   ,   ,37300,RPA2 - Concrete,A,3501,700,  ,"RRG3 - Garage, frame, detached, unfinished",4,3501,240,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
